"","year","nest.identity","season","clutch.size","mean.egg.volume","chick.identity","laying.order","egg.volume","relative.egg.volume","chick.hatched.","hatching.asynchrony","time.to.return","sex","paternity","mass1","mass2","mass3","mass4","mass5","mass6","mass7","mass8","mass9","mass10","mass11","mass12","mass13","tarsus.length..mm..at.brood.age.13","nestling.survival","recruitment"
"19",2001,4,-2,6,1553.79,19,3,1560.72,6.93,"yes",0,0.75,"female","extra",1.5,2,2.75,4.5,5.75,7.25,8.75,10.75,11.75,12.5,13.75,13.75,14.25,19.3,"fledged","notrecruited"
"20",2001,4,-2,6,1553.79,20,5,1613.51,59.72,"yes",0,0.75,"male","social",1.5,2.25,3.5,5.5,6.75,8.75,10.5,13.25,13.25,13.5,14.5,14.75,15.25,19.98,"fledged","notrecruited"
"21",2001,4,-2,6,1553.79,21,4,1598.29,44.5,"yes",0.5,0.25,"female","social",1.5,2,2.75,4.5,6,8.5,10.5,12.5,13.25,14,15.75,16.25,16.25,20.44,"fledged","notrecruited"
"22",2001,4,-2,6,1553.79,22,2,1463.43,-90.36,"yes",0.75,0.25,"female","social",1.5,1.75,2.75,4.5,5.75,7.75,10,12.5,12.75,13.75,15,16,15.5,19.87,"fledged","notrecruited"
"23",2001,4,-2,6,1553.79,23,6,1601.9,48.11,"yes",23.75,2.75,"male","social",NA,2.25,3.25,5.25,6.25,8.75,10.75,13.25,13.5,14.25,16.25,16.25,16.25,19.74,"fledged","recruited"
"24",2001,4,-2,6,1553.79,24,1,1484.87,-68.92,"no",NA,NA,"","extra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dead","notrecruited"
"25",2001,5,-1,6,1620.73,25,2,1593.19,-27.54,"yes",0,7.5,"male","social",2.25,3.75,5,7,8.5,10.5,12,12.5,14.5,14.5,13.25,12.5,12.75,20.03,"fledged","notrecruited"
"26",2001,5,-1,6,1620.73,26,1,1527.53,-93.2,"yes",0.25,7.25,"female","social",2,3.5,4,5.25,6.5,9.25,10.25,11.75,13.25,13.5,11.5,11.25,11.25,19.64,"fledged","notrecruited"
"27",2001,5,-1,6,1620.73,27,3,1653.91,33.18,"yes",5.25,2.25,"male","social",2.5,4.25,5.25,7.25,8.75,11.5,12.5,13,14.25,13,11,10.25,10.75,19.73,"fledged","notrecruited"
"28",2001,5,-1,6,1620.73,28,4,1640.63,19.9,"yes",9.5,2,"male","social",2.25,4,5,6.25,8,10.75,12.25,13.25,14.5,13.5,13,12.25,12.75,19.76,"fledged","notrecruited"
"29",2001,5,-1,6,1620.73,29,5,1680.22,59.49,"yes",10.25,1.25,"male","social",2.25,3.5,5,6.25,8,10.25,11.75,11.75,14.25,14.5,12.75,11.75,11.25,20.2,"fledged","notrecruited"
"30",2001,5,-1,6,1620.73,30,6,1628.88,8.15,"yes",28,4.5,"male","social",2,2,2.75,3.5,4,5.25,6.25,6.75,8,8,6.75,NA,NA,NA,"dead","notrecruited"
"31",2001,6,1,6,1603.49,31,3,1616.26,12.77,"yes",0,0.25,"male","social",2,2.25,4.25,6,8.5,9.75,12,12.5,14.5,13.75,14,14.5,14.5,20.07,"fledged","notrecruited"
"32",2001,6,1,6,1603.49,32,1,1704.22,100.73,"yes",5.5,4.5,"male","social",NA,2.75,4.75,7,9.25,11,12.5,13,15.25,15.25,15.5,15.25,15,20.52,"fledged","notrecruited"
"33",2001,6,1,6,1603.49,33,4,1606.7,3.21,"yes",5.5,4.5,"female","social",NA,2.25,4,6.5,9,10,12.75,12.5,14.5,13.75,14,14.25,14,20.71,"fledged","notrecruited"
"34",2001,6,1,6,1603.49,34,5,1543.04,-60.45,"yes",5.5,4.5,"male","social",NA,2.25,3.75,6.25,8,9.5,11.75,12,13.75,13.75,14,14.75,14.5,20.49,"fledged","notrecruited"
"35",2001,6,1,6,1603.49,35,6,1547.15,-56.34,"yes",16,3.5,"female","social",NA,1.5,3.25,5.25,7.25,8.75,11.25,11.5,13.75,14,13.75,13.75,13.75,20.9,"fledged","notrecruited"
"36",2001,6,1,6,1603.49,36,2,1603.55,0.06,"no",NA,NA,"female","social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dead","notrecruited"
"37",2001,7,1,6,1520.27,37,4,1490.03,-30.24,"yes",0,3,"female","social",2,3,4.5,6.25,7.75,10,11.5,12,12.75,11.5,10.5,10.75,11.75,19.88,"fledged","notrecruited"
"38",2001,7,1,6,1520.27,38,2,1498.51,-21.76,"yes",0.25,2.5,"male","social",2,3.25,5,6.75,8.5,10.25,11.25,12.25,13.75,12.25,11.75,12,13.25,20.68,"fledged","notrecruited"
"39",2001,7,1,6,1520.27,39,6,1576.94,56.67,"yes",5.75,9,"male","social",NA,2.25,3.5,5.25,6.5,8.5,9,10.75,12,11.5,12.25,12.5,13.5,19.4,"fledged","notrecruited"
"40",2001,7,1,6,1520.27,40,1,1561.85,41.58,"yes",6.5,1,"female","social",1.75,2.25,4.25,6,7.5,9.75,10.25,12,12.5,11.5,10.5,10.5,12.25,19.68,"fledged","notrecruited"
"41",2001,7,1,6,1520.27,41,3,1491.6,-28.67,"yes",8.5,2,"male","social",1.5,2,2.75,5,5.75,7.75,8.5,10.25,11.25,10.75,10.5,11,12,18.83,"fledged","notrecruited"
"42",2001,7,1,6,1520.27,42,5,1502.67,-17.6,"yes",13.5,2,"female","social",1.75,2.5,4.5,5.75,7.25,9.5,10.5,12,12.5,11.75,11.25,11.75,12.75,19.88,"fledged","notrecruited"
"43",2001,8,0,6,1635.28,43,3,1680.34,45.06,"yes",0,3,"male","extra",2,3.25,5,6.5,8.5,10.75,11.5,12.25,12.5,12.5,13.25,13.75,13.75,18.98,"fledged","recruited"
"44",2001,8,0,6,1635.28,44,1,1492.77,-142.51,"yes",9,5.5,"male","extra",2,2.5,4.5,6.25,7.5,9.75,10.5,13,14,13.5,13.5,14,14.25,19.93,"fledged","notrecruited"
